--------- beginning of main
06-14 21:41:56.408 E/dlkm_loader(  139): LoadWithAliases was unable to load vkms
--------- beginning of system
06-14 21:41:57.165 E/NetlinkListener(  157): recvmsg failed (No buffer space available)
06-14 21:41:58.039 E/keystore2(  168): keystore2::maintenance: Call to earlyBootEnded failed for security level STRONGBOX: In call_with_watchdog: getting keymint device.
06-14 21:41:58.039 E/keystore2(  168): keystore2::error: In call_with_watchdog: getting keymint device
06-14 21:41:58.039 E/keystore2(  168): 
06-14 21:41:58.039 E/keystore2(  168): Caused by:
06-14 21:41:58.039 E/keystore2(  168):     0: In get_keymint_device.
06-14 21:41:58.039 E/keystore2(  168):     1: In connect_keymint: Trying to get Legacy wrapper.
06-14 21:41:58.039 E/keystore2(  168):     2: Error::Km(ErrorCode(-68))
06-14 21:41:58.039 E/vold    (  157): keystore2 Keystore earlyBootEnded returned service specific error: -68
06-14 21:42:00.185 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.185 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.185 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.185 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.185 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.185 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.185 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.185 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.185 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.185 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.185 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.185 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.186 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.186 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.186 E/TcUtils (  296): NLMSG_ERROR message return error: -2
06-14 21:42:00.186 E/TcUtils (  296): NLMSG_ERROR message return error: -2
