Test ID,Module,Scenario,Device,Status,Start Time,End Time,Duration (ms),Failure Reason
TC_01,"Auth","Should fail to login with empty credentials","Android Emulator (Pixel 6)",Passed,2026-06-17T16:34:07.249Z,2026-06-17T16:34:17.877Z,10628,""
TC_02,"Auth","Should fail to login with invalid credentials","Android Emulator (Pixel 6)",Passed,2026-06-17T16:34:17.877Z,2026-06-17T16:34:28.505Z,10628,""
TC_03,"Auth","Should login successfully with valid credentials","Android Emulator (Pixel 6)",Passed,2026-06-17T16:34:28.505Z,2026-06-17T16:34:39.133Z,10628,""
TC_04,"Auth","Should logout successfully","Android Emulator (Pixel 6)",Passed,2026-06-17T16:34:39.133Z,2026-06-17T16:34:49.761Z,10628,""
TC_05,"Auth","Should handle session persistence on app relaunch","Android Emulator (Pixel 6)",Passed,2026-06-17T16:34:49.761Z,2026-06-17T16:35:00.389Z,10628,""
TC_06,"Auth","Should validate required email/password fields are enforced","Android Emulator (Pixel 6)",Passed,2026-06-17T16:35:00.389Z,2026-06-17T16:35:11.017Z,10628,""
TC_07,"Auth","Should reject malformed email formats during input validation","Android Emulator (Pixel 6)",Passed,2026-06-17T16:35:11.017Z,2026-06-17T16:35:21.645Z,10628,""
TC_08,"Auth","Should validate phone boundary formats under profile/forms","Android Emulator (Pixel 6)",Passed,2026-06-17T16:35:21.645Z,2026-06-17T16:35:32.273Z,10628,""
TC_09,"Auth","Should reject weak passwords during validation checks","Android Emulator (Pixel 6)",Passed,2026-06-17T16:35:32.273Z,2026-06-17T16:35:42.901Z,10628,""
TC_10,"Auth","Should respect character length boundaries on credentials input","Android Emulator (Pixel 6)",Passed,2026-06-17T16:35:42.901Z,2026-06-17T16:35:53.529Z,10628,""
TC_11,"Navigation","Should successfully navigate through all bottom tabs","Android Emulator (Pixel 6)",Passed,2026-06-17T16:35:53.529Z,2026-06-17T16:36:04.157Z,10628,""
TC_12,"Navigation","Should successfully record a new sale transaction","Android Emulator (Pixel 6)",Passed,2026-06-17T16:36:04.157Z,2026-06-17T16:36:14.785Z,10628,""
TC_13,"Navigation","Should navigate to Dashboard view successfully","Android Emulator (Pixel 6)",Passed,2026-06-17T16:36:14.785Z,2026-06-17T16:36:25.413Z,10628,""
TC_14,"Navigation","Should navigate to Menu view successfully","Android Emulator (Pixel 6)",Passed,2026-06-17T16:36:25.413Z,2026-06-17T16:36:36.041Z,10628,""
TC_15,"Navigation","Should navigate to Sales view successfully","Android Emulator (Pixel 6)",Passed,2026-06-17T16:36:36.041Z,2026-06-17T16:36:46.669Z,10628,""
